AUTHOR	COAUTHORS
(Allan) Chen	{'Akshay R. Rao': 1}
A Davoodi	{'R Fallahnejad': 1, 'H Zhiani Rezai': 1}
A Jessop	{}
A d. Wagner	{'Wilh Vocke': 1}
A. A. Berle	{}
A. A. Shapiro	{}
A. A. Shenfield	{'J. S. Fforde': 1}
A. A. Walters	{}
A. A. Zvorykin	{'Michel Vale': 1, 'A. M. Geliuta': 1}
A. Aikin	{}
A. Alan Post	{}
A. Alexandre	{'J-Ph. Barde': 1, 'D. W. Pearce': 1}
A. B. Atkinson	{'R. M. Titmuss': 1}
A. B. Balcom	{'Jessie Marburg': 1}
A. B. Carson	{}
A. B. Cummins	{'Carl Heyel': 1, 'A. R. Wiren': 1}
A. B. Wolfe	{'Joseph J. Spengler': 1}
A. BALLETTI	{}
A. Babeau	{'A. Masson': 1, 'D. Strauss-Kahn': 1}
A. Beacham	{'Brinley Thomas': 1}
A. Ben-Tal	{'A. Nemirovski': 1}
A. Bernthsen	{"George M'Gowan": 1}
A. Berthoud	{}
A. Bertolini	{}
A. Bessent	{'T. Clark': 1, 'J. Elam': 1, 'W. Bessent': 1}
A. Brady	{}
A. Brinz	{}
A. Byrne	{'M. Sniedovich': 1, 'L. Churilov': 1}
A. Béthouart	{}
A. C. Aitken	{}
A. C. Hoffman	{}
A. C. Littleton	{'Balduin Penndorf': 1, 'Luca Pacioli': 1, 'Walter Staub': 1}
A. C. McKay	{}
A. C. Pigou	{'F. W. Taussig': 1, 'Richard T. Ely': 1}
A. C. Rearick	{}
A. C. SEWTER	{'WALTER B. EDGAR': 1}
A. C. Zwart	{'K. D. Meilke': 1}
A. Campolongo	{'O. Conrad': 1}
A. Chabert	{'Agence europ\xc3\xa9enne de productivit\xc3\xa9': 1}
A. Charnes	{'W. W. Cooper': 2, 'W. M. Raike': 1}
A. D. Airth	{'Edward H. Bowman': 1, 'Robert B. Fetter': 1}
A. D. Bain	{'A. Williams': 1}
A. D. Gayer	{'Schwartz A. Jacobson': 1, 'W. W. Rostow': 1}
A. D. H. Kaplan	{'Erling M. Hunt': 1}
A. D. P. Heeney	{}
A. D. Wilkie	{}
A. Duckworth	{'H. W. Parkinson': 1}
A. E. Campbell	{'Walter LaFeber': 1}
A. E. DE LOS MONTEROS	{}
A. E. Dunstan	{}
A. E. HOLCOMB	{'R. W. MANNING': 1, 'JOHN MILLER': 1}
A. E. Holcomb	{}
A. E. James	{}
A. E. King	{}
A. E. Levett	{'H. J. Hewitt': 1}
A. E. Musson	{'H. W. Dickinson': 1, 'E. Robinson': 1}
A. E. PARNACOTT	{}
A. E. SPRAGUE	{}
A. Epstein	{}
A. F. Beaufort	{}
A. F. Hinrichs	{'H. Niehaus': 1, 'Max Sering': 1, 'F. Schl\xc3\xb6mer': 1, 'Searle F. Charles': 1}
A. F. Johnson	{}
A. F. Napp-Zinn	{'Erich M\xc3\xb6ller': 1}
A. F. ROCHE	{}
A. F. Shorrocks	{}
A. FAVARO	{}
A. FOSSATI	{'T. Zerbi': 1}
A. FRUMENTO	{'R. S. Vaile': 1, 'G. Filipetti': 1}
A. Federgruen	{'G. Mosheiov': 1}
A. Fingland Jack	{'W. F. Gephart': 1}
A. Fossati	{'W. Beveridge': 1}
A. G. B. Cooper	{}
A. G. B. Fisher	{}
A. G. Charleton	{'Isaac Smith': 1}
A. G. Ford	{'Shigeo Horie': 1}
A. G. Griffin	{'Eugen Berkovits': 1, 'George C. Atkins': 1}
A. G. Holtmann	{'Morton Marcus': 1, 'Werner Z. Hirsch': 1, 'Elbert W. Segelhorst': 1, 'V. Kerry Smith': 1}
A. G. Kenwood	{}
A. G. R. Smith	{'John Cramsie': 1}
A. G. Sterling	{}
A. GARINO CANINA	{'E. Th\xc3\xa9ry': 1, 'E. Milhaud': 1}
A. GARINO-CANINA	{'G. Briganti': 1}
A. Garino Canina	{'P. E. Taviani': 1}
A. Garino-Canina	{'F. Chimienti': 1}
A. Germershausen	{}
A. Greasley	{}
A. H. Ahmed	{'C. A. Poojari': 1}
A. H. Bolte	{}
